ID,organism,Time (hr),rep1,rep2,rep3,OriSource
Exp1,H,0,51.56558835,47.84825834,49.3340948,LG-AMP-A
Exp1,H,0.5,93.6371,51.47224405,55.5274058,LG-AMP-A
Exp1,H,4,296.6162817,66.47368624,68.09418109,LG-AMP-A
Exp1,H,24,603.7314922,99.20264533,115.2830961,LG-AMP-A
Exp1,H,48,575.9275085,111.6361564,136.6979305,LG-AMP-A
Exp1,H,96,362.2230142,158.9046483,215.4263052,LG-AMP-A
Exp1,H,120,303.3780028,169.3501375,224.1543241,LG-AMP-A
Exp2,H,0,63.30727212,68.05434933,70.53416578,LG-AMP-A
Exp2,H,0.5,58.05815651,55.41200438,53.48027912,LG-AMP-A
Exp2,H,20,91.98071968,84.44929994,83.76497864,LG-AMP-A
Exp2,H,48,114.7030263,87.20756515,97.38483645,LG-AMP-A
Exp2,H,96,102.9112829,95.68421803,80.09203372,LG-AMP-A
Exp3,H,0,21.6150039,19.39503708,19.69817733,LG-AMP-A
Exp3,H,4,53.79194006,46.07168405,33.95995728,LG-AMP-A
Exp3,H,24,110.6218117,115.5902445,61.35366129,LG-AMP-A
Exp4,H,0,33.36816883,25.00217694,46.42022163,LG-AMP-A
Exp4,H,24,34.52124685,27.94468422,54.42672643,LG-AMP-A
Exp4,H,48,12.93276919,0.18842019,40.05430245,LG-AMP-A
Exp4,H,120,39.21331984,18.93803282,83.46945338,LG-AMP-A
Exp5,H,0,57.59740123,53.08013384,69.38528934,LG-AMP-A
Exp5,H,24,67.74088776,65.0871005,63.84466389,LG-AMP-A
Exp5,H,48,46.62583995,49.64564257,43.53466699,LG-AMP-A
Exp5,H,99,74.95059208,95.76241634,66.27826098,LG-AMP-A
Exp5,H,139,120.5659981,176.6360555,121.7683797,LG-AMP-A
