,,,0 time is integral accorss mixed layer depth HOOH measures from 'in situ data' ,,,,,,,,,,
Water Capture Time,CTD,Incubation time (hrs) ,rep1,rep2,treatment,,,,,,,,
1/31/07 04:34,63,0,102.5035386,NA,Unamended,,,,,,,,
1/31/07 06:30,64,0,66.18707083,NA,Unamended,,,,,,,,
1/31/07 08:33,65,0,95.99741306,NA,Unamended,,,,,,,,
1/31/07 10:30,66,0,119.1738124,NA,Unamended,,,,,,,,
1/31/07 12:33,67,0,133.9159541,NA,Unamended,,,,,,,,
1/31/07 14:31,68,0,151.123118,NA,Unamended,,,,,,,,
1/31/07 16:36,69,0,199.4373719,NA,Unamended,,,,,,,,
1/31/07 18:29,70,0,193.2856188,NA,Unamended,,,,,,,,
1/31/07 20:32,71,0,156.6826412,NA,Unamended,,,,,,,,
1/31/07 22:37,72,0,173.1517191,NA,Unamended,,,,,,,,
2/1/07 00:33,73,0,130.9885416,NA,Unamended,,,,,,,,
2/1/07 02:36,74,0,114.3123932,NA,Unamended,,,,,,,,
2/1/07 04:34,75,0,108.226779,NA,Unamended,,,,,,,,
1/31/07 04:34,63,4,102.1144721,116.4420052,Unamended,,,,,,,,
1/31/07 06:30,64,4,138.4453102,123.2192543,Unamended,,,,,,,,
1/31/07 08:33,65,4,122.8611808,122.0968172,Unamended,,,,,,,,
1/31/07 10:30,66,4,187.4238279,164.6465484,Unamended,,,,,,,,
1/31/07 12:33,67,4,163.1517465,173.0064057,Unamended,,,,,,,,
1/31/07 14:31,68,4,157.1356763,151.5720788,Unamended,,,,,,,,
1/31/07 16:36,69,4,193.4765409,195.5052983,Unamended,,,,,,,,
1/31/07 18:29,70,4,118.9359731,122.2172108,Unamended,,,,,,,,
1/31/07 20:32,71,4,111.3010139,114.9581728,Unamended,,,,,,,,
1/31/07 22:37,72,4,111.2015049,113.6000941,Unamended,,,,,,,,
2/1/07 00:33,73,4,85.20150728,82.81809188,Unamended,,,,,,,,
2/1/07 02:36,74,4,129.265481,139.2557543,Unamended,,,,,,,,
1/31/07 04:34,63,8,169.2360577,164.9060781,Unamended,,,,,,,,
1/31/07 06:30,64,8,141.3147017,142.7689569,Unamended,,,,,,,,
1/31/07 08:33,65,8,109.3487279,124.5179613,Unamended,,,,,,,,
1/31/07 10:30,66,8,66.67160791,72.44091934,Unamended,,,,,,,,
1/31/07 12:33,67,8,78.5462777,106.5464029,Unamended,,,,,,,,
1/31/07 14:31,68,8,116.3703658,105.2793366,Unamended,,,,,,,,
1/31/07 16:36,69,8,86.22997864,91.37053934,Unamended,,,,,,,,
1/31/07 18:29,70,8,126.909771,140.7723979,Unamended,,,,,,,,
1/31/07 20:32,71,8,191.9385098,199.1648705,Unamended,,,,,,,,
1/31/07 22:37,72,8,134.7274141,107.9129573,Unamended,,,,,,,,
2/1/07 00:33,73,8,146.0060908,130.185034,Unamended,,,,,,,,
2/1/07 02:36,74,8,122.9599517,127.8225008,Unamended,,,,,,,,
1/31/07 04:34,63,4,215.8058744,221.246865,HOOH Spike ,,,,,,,,
1/31/07 06:30,64,4,795.6574298,827.1732032,HOOH Spike,,,,,,,,
1/31/07 08:33,65,4,823.3232521,890.5395861,HOOH Spike,,,,,,,,
1/31/07 10:30,66,4,1033.673133,994.5036354,HOOH Spike,,,,,,,,
1/31/07 12:33,67,4,943.249826,995.4610265,HOOH Spike,,,,,,,,
1/31/07 14:31,68,4,855.9093747,875.8076832,HOOH Spike,,,,,,,,
1/31/07 16:36,69,4,851.2018762,837.3017,HOOH Spike,,,,,,,,
1/31/07 18:29,70,4,673.5747788,713.2093387,HOOH Spike,,,,,,,,
1/31/07 20:32,71,4,720.1821084,718.6077007,HOOH Spike,,,,,,,,
1/31/07 22:37,72,4,746.0372652,751.8302523,HOOH Spike,,,,,,,,
2/1/07 00:33,73,4,817.4478793,783.5645028,HOOH Spike,,,,,,,,
2/1/07 02:36,74,4,847.5802638,802.4722942,HOOH Spike,,,,,,,,
1/31/07 04:34,63,8,242.8178747,269.6405511,HOOH Spike,,,,,,,,
1/31/07 06:30,64,8,870.5556971,923.8235867,HOOH Spike,,,,,,,,
1/31/07 08:33,65,8,759.1938795,759.9798981,HOOH Spike,,,,,,,,
1/31/07 10:30,66,8,680.298187,678.1948421,HOOH Spike,,,,,,,,
1/31/07 12:33,67,8,619.4774303,620.9151722,HOOH Spike,,,,,,,,
1/31/07 14:31,68,8,674.5552391,649.3389228,HOOH Spike,,,,,,,,
1/31/07 16:36,69,8,872.8737963,783.33113,HOOH Spike,,,,,,,,
1/31/07 18:29,70,8,766.01691,785.1178109,HOOH Spike,,,,,,,,
1/31/07 20:32,71,8,814.0763305,813.2143771,HOOH Spike,,,,,,,,
1/31/07 22:37,72,8,854.3581826,840.9753105,HOOH Spike,,,,,,,,
2/1/07 00:33,73,8,977.3619526,937.9160541,HOOH Spike,,,,,,,,
2/1/07 02:36,74,8,894.7794327,846.2581683,HOOH Spike,,,,,,,,
1/31/07 04:34,63,4,193.8727043,219.29299,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 06:30,64,4,756.1230421,824.9415426,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 08:33,65,4,912.1233259,927.2998279,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 10:30,66,4,1070.265706,1048.767517,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 12:33,67,4,970.172928,1017.126889,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 14:31,68,4,898.2827868,853.3757608,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 16:36,69,4,888.5184153,862.1646448,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 18:29,70,4,712.9320629,730.2617983,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 20:32,71,4,NA,NA,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 22:37,72,4,726.6939873,692.73924,HOOH Spike + chloramphenicol,,,,,,,,
2/1/07 00:33,73,4,NA,NA,HOOH Spike + chloramphenicol,,,,,,,,
2/1/07 02:36,74,4,186.4151265,853.1273623,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 04:34,63,8,274.3518919,273.0282626,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 06:30,64,8,936.669757,944.2661606,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 08:33,65,8,775.7049075,779.3117855,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 10:30,66,8,727.1784635,705.0730941,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 12:33,67,8,682.2327675,673.6949316,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 14:31,68,8,705.4565206,655.45919,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 16:36,69,8,884.2467039,852.5023215,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 18:29,70,8,792.8557424,802.7975313,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 20:32,71,8,NA,NA,HOOH Spike + chloramphenicol,,,,,,,,
1/31/07 22:37,72,8,864.7207907,799.1494452,HOOH Spike + chloramphenicol,,,,,,,,
2/1/07 00:33,73,8,NA,NA,HOOH Spike + chloramphenicol,,,,,,,,
2/1/07 02:36,74,8,137.4044414,913.4669402,HOOH Spike + chloramphenicol,,,,,,,,
